X,CH1,CH2,
338,4.88e-01,0.00e+00,
339,5.20e-01,8.00e-02,
340,4.88e-01,0.00e+00,
341,5.20e-01,8.00e-02,
342,4.88e-01,0.00e+00,
343,5.28e-01,8.00e-02,
344,4.88e-01,0.00e+00,
345,5.28e-01,8.00e-02,
346,5.20e-01,0.00e+00,
347,4.88e-01,8.00e-02,
348,4.88e-01,0.00e+00,
349,5.28e-01,8.00e-02,
350,6.00e-01,8.00e-02,
351,3.92e-01,0.00e+00,
352,7.68e-01,0.00e+00,
353,8.80e-02,2.58e+00,
354,5.28e-01,2.56e+00,
355,4.88e-01,2.48e+00,
356,4.88e-01,2.56e+00,
357,5.36e-01,0.00e+00,
358,4.80e-01,0.00e+00,
359,5.36e-01,8.00e-02,
360,5.20e-01,8.00e-02,
361,4.88e-01,0.00e+00,
362,5.28e-01,8.00e-02,
363,4.88e-01,0.00e+00,
364,5.20e-01,0.00e+00,
365,4.88e-01,8.00e-02,
366,5.20e-01,8.00e-02,
367,4.88e-01,0.00e+00,
368,4.88e-01,8.00e-02,
369,5.28e-01,0.00e+00,
370,5.20e-01,8.00e-02,
371,4.88e-01,2.00e-02,
372,4.88e-01,8.00e-02,
373,5.28e-01,0.00e+00,
374,4.88e-01,8.00e-02,
375,5.28e-01,0.00e+00,
376,4.88e-01,8.00e-02,
377,5.28e-01,0.00e+00,
378,4.88e-01,0.00e+00,
379,5.20e-01,8.00e-02,
380,6.96e-01,8.00e-02,
381,3.52e-01,0.00e+00,
382,5.44e-01,0.00e+00,
383,4.88e-01,8.00e-02,
384,2.56e-01,8.00e-02,
385,6.96e-01,0.00e+00,
386,5.20e-01,2.00e-02,
387,4.88e-01,8.00e-02,
388,4.88e-01,8.00e-02,
389,5.28e-01,2.00e-02,
390,4.88e-01,0.00e+00,
391,5.20e-01,8.00e-02,
392,4.88e-01,8.00e-02,
393,5.20e-01,0.00e+00,
394,4.88e-01,8.00e-02,
395,5.28e-01,-2.00e-02,
396,4.88e-01,0.00e+00,
397,5.28e-01,8.00e-02,
398,5.20e-01,0.00e+00,
399,4.88e-01,8.00e-02,
400,5.20e-01,0.00e+00,
401,4.88e-01,8.00e-02,
402,4.88e-01,0.00e+00,
403,5.28e-01,8.00e-02,
404,5.20e-01,8.00e-02,
405,4.88e-01,0.00e+00,
406,5.20e-01,0.00e+00,
407,4.88e-01,8.00e-02,
408,4.88e-01,8.00e-02,
409,5.28e-01,0.00e+00,
410,4.88e-01,8.00e-02,
411,5.20e-01,0.00e+00,
412,7.12e-01,0.00e+00,
413,3.60e-01,8.00e-02,
414,5.44e-01,8.00e-02,
415,4.88e-01,0.00e+00,
416,2.56e-01,0.00e+00,
417,6.72e-01,8.00e-02,
418,4.88e-01,0.00e+00,
419,5.20e-01,8.00e-02,
420,4.88e-01,0.00e+00,
421,5.28e-01,8.00e-02,
422,4.88e-01,8.00e-02,
423,5.20e-01,0.00e+00,
424,4.88e-01,0.00e+00,
425,5.20e-01,8.00e-02,
426,4.88e-01,0.00e+00,
427,5.20e-01,8.00e-02,
428,4.88e-01,0.00e+00,
429,5.20e-01,8.00e-02,
430,4.88e-01,0.00e+00,
431,5.20e-01,8.00e-02,
432,4.88e-01,0.00e+00,
433,5.20e-01,8.00e-02,
434,4.88e-01,8.00e-02,
435,5.20e-01,0.00e+00,
436,4.88e-01,0.00e+00,
437,5.28e-01,8.00e-02,
438,4.88e-01,8.00e-02,
439,5.28e-01,0.00e+00,
440,5.20e-01,0.00e+00,
441,4.88e-01,8.00e-02,
442,4.88e-01,8.00e-02,
443,5.28e-01,0.00e+00,
444,7.04e-01,0.00e+00,
445,3.44e-01,8.00e-02,
446,5.36e-01,0.00e+00,
447,4.88e-01,8.00e-02,
448,2.64e-01,0.00e+00,
449,6.96e-01,8.00e-02,
450,4.88e-01,8.00e-02,
451,5.28e-01,0.00e+00,
452,5.20e-01,8.00e-02,
453,4.88e-01,0.00e+00,
454,5.20e-01,8.00e-02,
455,4.88e-01,0.00e+00,
456,5.20e-01,0.00e+00,
457,4.88e-01,8.00e-02,
458,4.88e-01,8.00e-02,
459,5.28e-01,0.00e+00,
460,5.28e-01,8.00e-02,
461,4.88e-01,0.00e+00,
462,5.20e-01,0.00e+00,
463,4.88e-01,8.00e-02,
464,5.28e-01,8.00e-02,
465,4.88e-01,0.00e+00,
466,4.88e-01,8.00e-02,
467,5.20e-01,0.00e+00,
468,4.88e-01,8.00e-02,
469,5.28e-01,0.00e+00,
470,5.20e-01,2.00e-02,
471,4.88e-01,8.00e-02,
472,4.88e-01,8.00e-02,
473,5.28e-01,0.00e+00,
474,4.88e-01,0.00e+00,
